日期,備轉容量(萬瓩),備轉容量率(%)
2021/11/14,482.8,18.52
2021/11/15,357.1,11.64
2021/11/16,389.9,12.5
2021/11/17,385.8,12.27
2021/11/18,346.6,11.08
2021/11/19,570.4,18.2
2021/11/20,409.5,14.48
2021/11/21,409.8,15.03
2021/11/22,660.8,21.79
2021/11/23,403.6,13.36
2021/11/24,385.9,12.67
2021/11/25,393.7,12.79
2021/11/26,408.9,13.55
2021/11/27,372.7,13.46
2021/11/28,343.5,12.86
2021/11/29,277.3,8.92
2021/11/30,400.7,13.16
2021/12/1,455.6,15.27
2021/12/2,382.1,12.67
2021/12/3,496.7,16.74
2021/12/4,441.8,16.3
2021/12/5,362,13.82
2021/12/6,379.2,12.56
2021/12/7,284.1,9.39
2021/12/8,424.3,14.01
2021/12/9,325.6,10.55
2021/12/10,353.1,11.61
2021/12/11,327.3,11.77
2021/12/12,451.5,17.23
2021/12/13,408.3,13.5
2021/12/14,305,9.92
2021/12/15,268.6,8.67
2021/12/16,286.4,9.23
2021/12/17,661.6,22.08
2021/12/18,427.9,15.88
2021/12/19,342.8,13.14
2021/12/20,264.2,8.7
2021/12/21,286.2,9.31
2021/12/22,305.7,9.94
2021/12/23,242.3,7.81
2021/12/24,319,10.56
2021/12/25,303.5,11.12
2021/12/26,342.9,12.9
2021/12/27,376.8,12.44
2021/12/28,325.3,10.85
2021/12/29,280.7,9.38
2021/12/30,437.6,15.07
2021/12/31,392.7,14.85
